trials,stimulus,number_responses,avg_words_per_response,percent_unique_words,percent_unique_lemmas,simpson_diversity,modal_agreement,modal_names,modal_response_agreement,modal_response
all_trials,imgNew/42T_wine.jpg,288,1.0868055555555556,0.0926517571884984,0.08626198083067092,0.7070942901613828,0.9131944444444444,wine,0.8854166666666666,wine
all_trials,imgNew/44T_king.jpg,292,1.0890410958904109,0.1320754716981132,0.1289308176100629,0.2269507767394798,0.3527397260273973,king,0.3458904109589041,king
all_trials,imgNew/46T_party.jpg,288,1.0243055555555556,0.0847457627118644,0.08135593220338982,0.600530381644183,0.7847222222222222,party,0.7673611111111112,party
all_trials,imgNew/47T_graduation.jpg,294,1.0204081632653061,0.09,0.08666666666666667,0.2991304347826087,0.41496598639455784,graduate,0.40816326530612246,graduate
all_trials,imgNew/48T_knight.jpg,298,1.0335570469798658,0.2012987012987013,0.19480519480519481,0.33850839714031894,0.5906040268456376,knight,0.5637583892617449,knight
all_trials,imgNew/4T_science.jpg,298,1.0369127516778522,0.14563106796116504,0.13592233009708737,0.3091035178413819,0.540268456375839,science,0.5335570469798657,science
all_trials,imgNew/50T_pool.jpg,288,1.1527777777777777,0.21084337349397592,0.1897590361445783,0.16270520147053472,0.4027777777777778,pool,0.3958333333333333,pool
all_trials,imgNew/51T_shoes.jpg,291,1.034364261168385,0.11627906976744186,0.11295681063122924,0.6241417497231451,0.8144329896907216,shoe,0.7216494845360825,shoes
all_trials,imgNew/52T_hat.jpg,294,1.0136054421768708,0.07046979865771812,0.06375838926174497,0.7021218900413532,0.8469387755102041,hat,0.7312925170068028,hat
all_trials,imgNew/53T_rain.jpg,298,1.0369127516778522,0.08737864077669903,0.08090614886731391,0.7368343630479552,0.889261744966443,rain,0.8691275167785235,rain
all_trials,imgNew/5T_feet.jpg,294,1.0612244897959184,0.14102564102564102,0.1282051282051282,0.579602605326078,0.8027210884353742,foot,0.7687074829931972,feet
all_trials,imgNew/6T_wood.jpg,298,1.0302013422818792,0.0749185667752443,0.0749185667752443,0.7109067296842733,0.8657718120805369,wood,0.8557046979865772,wood
all_trials,imgNew/7T_safety.jpg,288,1.1076388888888888,0.20376175548589343,0.19122257053291536,0.1675045839001597,0.375,safety,0.3645833333333333,safety
